user_id,user_name,clash_tag
10001,vick,CRRYV8YC
10002,McTau,PRGC2VGC
10003,bobo8060,Q8PVJYUG
10004,You,228UP9CY
10005,Laney,QL8Q8GPJ
10006,SLOB,GQVVGOQR
10007,matare,QGJJLLP9
10008,FatMess,2PYP8GVCQ
10009,rytwin,PYRQLLJO
10010,Mitwin,Q9RPO9C
10011,rimo22,G88PPOV2
10012,drewbaby226,8UYRVL8Q
10013,drewdaddy,P882G822R
10014,aileen,R22QQLLO
10015,atom,9PR2PJOR
10016,kriz,Y2UJCCYUG
10017,Qelthar,
10018,goezonme,QOCQYVUQP
10019,zoe,GO8U9ROCJ
10020,Chicco,G8LPYJC8Y
10021,Ezra,8PUR9R8
10022,DJ,L2PC8YL2
10023,Nana,G8Q9GGOQV
10024,nvernon,GPQCCO8R8
10025,Big Meech,GPCCULPCJ
10026,JoeC,GQGYJ8VLQ
10027,flaco,G9VOVGQCV
10028,Anein,G2CJUJYJQ
10029,GLyCh110,Q9OYJJC2
10030,CHuNTaRo,92UGQRLL